semester,courseCode,courseName,teachingUnit,credit,totalHours,courseType,courseAttribute,examType,isExam
2026-1,AIELEC105,云计算技术,信息工程学院,2,32,选修课,专业选修课,考查,否
2026-1,AIELEC107,网络安全,信息工程学院,3,48,选修课,专业选修课,考查,否
2026-2,AIELEC106,分布式系统,信息工程学院,3,48,选修课,专业选修课,课程项目,否
2026-2,AIELEC108,嵌入式系统,信息工程学院,3,48,选修课,专业选修课,课程项目,否
2026-2,AIELEC109,移动应用开发,信息工程学院,3,48,选修课,专业选修课,课程项目,否
2026-2,AIELEC110,Web开发技术,信息工程学院,3,48,选修课,专业选修课,课程项目,否
2026-2,AIGRAD01,毕业设计,信息工程学院,8,128,必修课,实践教学,答辩,是
2026-2,AIPRAC01,专业实习,信息工程学院,6,192,必修课,实践教学,考查,否
2024-1,DSMATH101,高等数学(上),信息工程学院,4,64,必修课,公共基础课,闭卷考试,是
2024-1,DSENG101,大学英语(一),信息工程学院,3,48,必修课,公共基础课,闭卷考试,是
2024-1,DSCS101,计算机导论,信息工程学院,2,32,必修课,学科基础课,闭卷考试,是
2024-1,DSCS103,离散数学,信息工程学院,3,48,必修课,学科基础课,闭卷考试,是
2024-2,DSMATH102,高等数学(下),信息工程学院,4,64,必修课,公共基础课,闭卷考试,是
2024-2,DSMATH103,线性代数,信息工程学院,3,48,必修课,公共基础课,闭卷考试,是
2024-2,DSENG102,大学英语(二),信息工程学院,3,48,必修课,公共基础课,闭卷考试,是
2024-2,DSCS102,程序设计基础,信息工程学院,4,64,必修课,学科基础课,闭卷考试,是
2024-2,DSCS104,数据结构,信息工程学院,4,64,必修课,学科基础课,闭卷考试,是
2025-1,DSMATH104,概率论与数理统计,信息工程学院,3,48,必修课,公共基础课,闭卷考试,是
2025-1,DSENG103,大学英语(三),信息工程学院,3,48,必修课,公共基础课,闭卷考试,是
2025-1,DSCS105,计算机组成原理,信息工程学院,4,64,必修课,专业核心课,闭卷考试,是
2025-1,DSCS106,操作系统,信息工程学院,4,64,必修课,专业核心课,闭卷考试,是
2025-1,DSELEC101,人工智能导论,信息工程学院,3,48,选修课,专业选修课,课程设计,是
2025-2,DSENG104,大学英语(四),信息工程学院,3,48,必修课,公共基础课,闭卷考试,是
2025-2,DSCS107,计算机网络,信息工程学院,4,64,必修课,专业核心课,闭卷考试,是
2025-2,DSCS108,数据库原理,信息工程学院,4,64,必修课,专业核心课,闭卷考试,是
2025-2,DSELEC102,机器学习,信息工程学院,3,48,选修课,专业选修课,课程设计,是
2025-2,DSELEC103,深度学习,信息工程学院,3,48,选修课,专业选修课,课程设计,是
2026-1,DSCS109,编译原理,信息工程学院,4,64,必修课,专业核心课,闭卷考试,是
2026-1,DSCS110,软件工程,信息工程学院,3,48,必修课,专业核心课,闭卷考试,是
2026-1,DSELEC104,大数据分析,信息工程学院,3,48,选修课,专业选修课,考查,否
2026-1,DSELEC105,云计算技术,信息工程学院,2,32,选修课,专业选修课,考查,否
2026-1,DSELEC107,网络安全,信息工程学院,3,48,选修课,专业选修课,考查,否
2026-2,DSELEC106,分布式系统,信息工程学院,3,48,选修课,专业选修课,课程项目,否
2026-2,DSELEC108,嵌入式系统,信息工程学院,3,48,选修课,专业选修课,课程项目,否
2026-2,DSELEC109,移动应用开发,信息工程学院,3,48,选修课,专业选修课,课程项目,否
2026-2,DSELEC110,Web开发技术,信息工程学院,3,48,选修课,专业选修课,课程项目,否
2026-2,DSGRAD01,毕业设计,信息工程学院,8,128,必修课,实践教学,答辩,是
2026-2,DSPRAC01,专业实习,信息工程学院,6,192,必修课,实践教学,考查,否
2024-1,NEMATH101,高等数学(上),信息工程学院,4,64,必修课,公共基础课,闭卷考试,是
2024-1,NEENG101,大学英语(一),信息工程学院,3,48,必修课,公共基础课,闭卷考试,是
2024-1,NECS101,计算机导论,信息工程学院,2,32,必修课,学科基础课,闭卷考试,是
2024-1,NECS103,离散数学,信息工程学院,3,48,必修课,学科基础课,闭卷考试,是
2024-2,NEMATH102,高等数学(下),信息工程学院,4,64,必修课,公共基础课,闭卷考试,是
2024-2,NEMATH103,线性代数,信息工程学院,3,48,必修课,公共基础课,闭卷考试,是
2024-2,NEENG102,大学英语(二),信息工程学院,3,48,必修课,公共基础课,闭卷考试,是
2024-2,NECS102,程序设计基础,信息工程学院,4,64,必修课,学科基础课,闭卷考试,是
2024-2,NECS104,数据结构,信息工程学院,4,64,必修课,学科基础课,闭卷考试,是
2025-1,NEMATH104,概率论与数理统计,信息工程学院,3,48,必修课,公共基础课,闭卷考试,是
2025-1,NEENG103,大学英语(三),信息工程学院,3,48,必修课,公共基础课,闭卷考试,是
2025-1,NECS105,计算机组成原理,信息工程学院,4,64,必修课,专业核心课,闭卷考试,是
2025-1,NECS106,操作系统,信息工程学院,4,64,必修课,专业核心课,闭卷考试,是
2025-1,NEELEC101,人工智能导论,信息工程学院,3,48,选修课,专业选修课,课程设计,是
2025-2,NEENG104,大学英语(四),信息工程学院,3,48,必修课,公共基础课,闭卷考试,是
2025-2,NECS107,计算机网络,信息工程学院,4,64,必修课,专业核心课,闭卷考试,是
2025-2,NECS108,数据库原理,信息工程学院,4,64,必修课,专业核心课,闭卷考试,是
2025-2,NEELEC102,机器学习,信息工程学院,3,48,选修课,专业选修课,课程设计,是
2025-2,NEELEC103,深度学习,信息工程学院,3,48,选修课,专业选修课,课程设计,是
2026-1,NECS109,编译原理,信息工程学院,4,64,必修课,专业核心课,闭卷考试,是
2026-1,NECS110,软件工程,信息工程学院,3,48,必修课,专业核心课,闭卷考试,是
2026-1,NEELEC104,大数据分析,信息工程学院,3,48,选修课,专业选修课,考查,否
2026-1,NEELEC105,云计算技术,信息工程学院,2,32,选修课,专业选修课,考查,否
2026-1,NEELEC107,网络安全,信息工程学院,3,48,选修课,专业选修课,考查,否
2026-2,NEELEC106,分布式系统,信息工程学院,3,48,选修课,专业选修课,课程项目,否
2026-2,NEELEC108,嵌入式系统,信息工程学院,3,48,选修课,专业选修课,课程项目,否
2026-2,NEELEC109,移动应用开发,信息工程学院,3,48,选修课,专业选修课,课程项目,否
2026-2,NEELEC110,Web开发技术,信息工程学院,3,48,选修课,专业选修课,课程项目,否
2026-2,NEGRAD01,毕业设计,信息工程学院,8,128,必修课,实践教学,答辩,是
2026-2,NEPRAC01,专业实习,信息工程学院,6,192,必修课,实践教学,考查,否
